iter	Passed	Remaining
0	2	2005
1	4	2408
2	8	2875
3	12	3038
4	15	3013
5	18	2982
6	20	2953
7	23	2955
8	27	3004
9	30	3021
10	33	3012
11	36	2985
12	39	2963
13	42	2992
14	45	3009
15	48	2990
16	51	2976
17	54	2974
18	57	2977
19	60	2965
20	63	2960
21	66	2950
22	69	2939
23	72	2948
24	75	2955
25	78	2940
26	81	2925
27	83	2912
28	86	2902
29	90	2910
30	93	2914
31	95	2902
32	98	2895
33	101	2886
34	104	2890
35	107	2889
36	110	2883
37	113	2878
38	116	2871
39	119	2866
40	122	2866
41	125	2856
42	127	2845
43	130	2841
44	133	2836
45	137	2845
46	140	2849
47	143	2843
48	146	2839
49	149	2837
50	152	2840
51	155	2837
52	158	2833
53	161	2830
54	164	2828
55	168	2832
56	171	2844
57	175	2842
58	177	2838
59	180	2832
60	183	2829
61	187	2832
62	190	2834
63	193	2829
64	196	2823
65	199	2818
66	203	2831
67	206	2826
68	209	2821
69	212	2818
70	215	2813
71	218	2820
72	222	2827
73	226	2829
74	229	2824
75	231	2816
76	234	2816
77	238	2819
78	241	2813
79	244	2808
80	247	2804
81	249	2796
82	252	2791
83	255	2780
84	257	2774
85	260	2768
86	263	2763
87	266	2756
88	268	2747
89	270	2737
90	273	2729
91	275	2719
92	277	2710
93	280	2701
94	282	2695
95	285	2690
96	288	2682
97	290	2675
98	293	2667
99	295	2659
100	298	2654
101	300	2647
102	303	2638
103	305	2630
104	307	2622
105	310	2615
106	312	2610
107	315	2603
108	317	2596
109	319	2588
110	322	2580
111	324	2573
112	326	2564
113	329	2558
114	331	2552
115	333	2544
116	336	2537
117	338	2531
118	341	2527
119	343	2521
120	346	2515
121	348	2510
122	351	2506
123	353	2500
124	356	2494
125	358	2488
126	361	2484
127	364	2479
128	366	2474
129	368	2468
130	371	2462
131	373	2457
132	376	2452
133	378	2448
134	381	2443
135	383	2438
136	386	2434
137	388	2429
138	391	2427
139	395	2426
140	398	2430
141	401	2426
142	404	2424
143	407	2420
144	410	2421
145	413	2421
146	417	2422
147	423	2435
148	429	2452
149	432	2452
150	435	2449
151	438	2444
152	440	2440
153	443	2435
154	445	2430
155	448	2424
156	450	2419
157	453	2414
158	455	2408
159	458	2405
160	460	2400
161	463	2395
162	465	2389
163	467	2384
164	470	2378
165	472	2374
166	475	2371
167	477	2366
168	480	2361
169	482	2356
170	485	2352
171	487	2347
172	490	2343
173	493	2340
174	495	2335
175	497	2329
176	499	2324
177	502	2320
178	505	2316
179	507	2312
180	510	2309
181	512	2304
182	515	2299
183	517	2294
184	519	2290
185	522	2286
186	524	2282
187	527	2278
188	529	2273
189	532	2269
190	534	2265
191	537	2261
192	539	2256
193	542	2252
194	544	2248
195	546	2243
196	549	2238
197	551	2234
198	554	2231
199	556	2226
200	558	2222
201	561	2217
202	563	2213
203	565	2208
204	568	2204
205	571	2202
206	573	2197
207	575	2192
208	578	2188
209	580	2184
210	582	2179
211	585	2177
212	588	2174
213	590	2169
214	593	2166
215	595	2162
216	598	2158
217	601	2159
218	605	2161
219	608	2158
220	611	2154
221	614	2153
222	617	2152
223	621	2154
224	624	2151
225	627	2149
226	630	2146
227	632	2143
228	635	2141
229	638	2138
230	641	2134
231	643	2130
232	645	2126
233	648	2123
234	651	2120
